satisfaction_level,last_evaluation,average_montly_hours,time_spend_company,Work_accident,left,salary
0,0.7,-1,24,0,0,1
-1,0.6,1,24,0,0,1
0,0.56,-1,24,0,0,1
-1,0.52,1,24,0,0,1
0,0.97,2,24,0,0,1
-1,0.65,3,24,1,0,1
0,0.5,0,24,0,0,1
-1,0.74,2,24,0,0,1
-1,0.77,-1,24,0,0,0
0,0.83,1,24,1,0,0
1,0.51,1,24,0,0,1
-1,0.54,1,24,1,0,1
-1,0.85,0,24,0,0,1
-1,0.59,1,24,0,0,1
1,0.68,-1,24,0,0,1
1,0.53,3,24,0,0,1
0,0.79,2,24,0,0,1
0,0.56,2,24,1,0,1
1,0.91,2,24,0,0,1
-1,0.71,3,24,0,0,1
0,0.83,2,24,0,0,1
-1,0.43,-1,24,0,0,1
0,0.78,0,24,0,0,1
-1,0.61,2,24,0,0,1
1,0.99,1,24,0,0,1
0,0.61,2,24,0,0,1
-1,0.77,3,24,1,0,1
0,0.69,2,24,0,0,1
0,0.6,-1,24,0,0,1
1,0.93,2,24,0,0,1
-1,0.77,2,24,0,0,1
0,0.91,3,24,0,0,1
-1,0.64,0,24,0,0,0
-1,0.67,-1,24,0,0,0
-1,0.55,2,24,0,0,1
1,0.97,1,24,0,0,0
-1,0.91,2,24,1,0,1
-1,0.57,-1,24,0,0,1
-1,0.4,-1,24,1,0,1
1,0.99,1,24,0,0,1
0,0.61,2,24,0,0,1
-1,0.77,3,24,1,0,1
0,0.69,2,24,0,0,1
0,0.6,-1,24,0,0,1
1,0.93,2,24,0,0,1
-1,0.77,2,24,0,0,1
0,0.91,3,24,0,0,1
-1,0.64,0,24,0,0,0
-1,0.67,-1,24,0,0,0
-1,0.55,2,24,0,0,1
1,0.97,1,24,0,0,0
-1,0.91,2,24,1,0,1
-1,0.57,-1,24,0,0,1
-1,0.4,-1,24,1,0,1
-1,0.78,0,24,0,1,0
0,0.68,3,24,0,1,1
-1,0.74,0,24,0,1,0
-1,0.71,3,24,0,1,1
-1,0.56,2,24,0,1,1
-1,0.95,0,24,0,1,0
-1,0.78,1,24,0,1,1
0,0.75,3,24,0,1,1
-1,0.67,-1,24,0,1,0
-1,0.9,2,24,0,1,0
0,0.58,2,24,0,1,1
-1,0.87,1,24,0,1,1
0,0.81,2,24,0,1,0
-1,0.62,2,24,0,1,1
1,0.79,-1,24,0,1,1
-1,0.47,0,24,0,1,1
-1,0.94,0,24,0,1,1
-1,0.85,1,24,1,1,1
-1,0.73,3,24,0,1,1
-1,0.8,3,24,0,1,1
-1,1.0,2,24,0,1,0
-1,0.75,2,24,0,1,1
0,0.45,-1,24,0,1,0
-1,0.8,-1,24,0,1,0
-1,0.85,2,24,0,1,0
