"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary"
1,0.97,3,60,0,1,1
0,0.56,0,36,0,1,1
1,0.89,1,24,1,0,0
0,0.58,4,24,0,0,1
2,0.82,3,36,0,0,1
1,0.55,4,36,0,0,0
1,0.56,0,24,0,0,1
1,0.91,3,60,0,1,1
2,1,3,60,0,1,0
1,0.69,4,36,0,0,0
2,0.95,3,24,0,0,1
0,0.85,3,24,0,1,0
0,0.59,0,36,0,0,1
0,0.64,4,36,0,0,0
1,0.53,0,36,1,0,0
1,1,4,60,0,1,1
0,0.76,0,120,0,0,1
1,0.97,3,60,0,1,1
1,0.83,4,72,0,1,0
0,0.85,2,24,0,0,0
1,0.72,4,36,0,0,1
0,0.74,1,24,0,1,0
0,0.71,1,96,0,0,1
0,0.85,1,60,0,0,1
0,0.54,0,36,0,1,1
0,0.49,0,48,0,0,1
1,0.85,4,48,0,0,1
1,0.54,1,36,0,0,1
2,0.91,3,36,1,0,0
0,0.71,2,60,0,0,0
1,0.97,0,24,1,0,1
0,0.62,3,36,0,0,1
0,0.72,0,24,0,0,1
1,0.53,2,48,0,0,0
0,0.56,0,36,0,1,1
2,0.82,2,24,0,0,0
2,0.92,1,36,0,0,0
0,0.57,0,36,0,1,1
1,0.7,1,48,0,1,1
1,0.98,3,60,0,1,0
2,0.62,2,36,0,0,1
1,0.83,2,48,0,0,1
0,0.67,4,36,0,0,1
0,0.52,1,36,0,1,0
0,0.52,0,36,0,1,1
0,0.49,1,36,0,1,1
2,0.96,0,48,0,0,0
0,0.52,0,36,0,1,0
0,0.47,1,36,0,1,1
0,0.64,4,24,1,0,1
0,0.8,4,48,0,1,1
0,0.61,3,24,0,0,1
0,0.7,3,24,0,0,1
2,1,1,24,1,0,0
0,0.47,0,36,0,1,1
1,0.77,2,36,0,0,1
1,0.51,2,36,0,0,1
0,0.75,1,48,0,0,1
0,0.58,2,48,0,0,0
1,0.84,2,36,0,0,0
1,0.53,2,24,0,0,1
0,0.93,3,48,0,1,0
0,0.59,4,36,0,0,0
0,0.88,3,48,0,1,1
1,0.61,4,24,1,0,0
0,0.46,1,24,0,0,1
0,0.69,0,36,0,0,0
0,0.97,2,36,1,0,1
2,0.78,2,36,0,0,0
0,0.63,2,60,0,0,0
1,0.97,4,60,0,1,1
1,0.46,0,60,1,0,0
