"Long_emp_retention","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator"
20.04106776,1,0,25,1,1,0,1,0,0,0,0,1,1
26.18480493,1,1,21,0,0,1,1,1,3,1,0,0,0
67.4825462,0,0,36,1,0,0,1,1,3,1,0,1,1
15.40862423,1,0,44,1,0,0,0,0,3,1,0,0,1
9.626283368,1,0,25,1,0,0,1,1,2,1,0,0,0
50.72689938,1,0,28,0,0,1,1,0,0,0,1,0,0
11.49897331,1,0,26,1,0,0,1,1,3,0,1,0,0
2.102669405,0,0,38,1,0,1,0,0,0,0,0,1,1
22.37371663,1,0,31,0,0,1,1,1,2,0,1,0,0
0.492813142,0,0,29,1,0,0,0,1,3,0,0,1,0
1.971252567,0,1,31,0,0,1,0,0,1,0,0,1,1
4.041067762,0,0,41,1,0,1,1,1,3,0,1,0,0
114.8583162,1,0,26,1,0,0,1,1,1,0,0,0,1
12.5174538,0,1,48,0,0,1,1,1,3,1,1,1,0
5.650924025,0,0,42,0,0,1,1,1,3,1,1,0,0
6.275154004,1,0,30.40033257,0,1,0,1,1,0,1,0,0,1
25.06776181,1,0,28,1,0,1,1,1,1,0,0,0,1
42.48049281,1,0,42,1,0,1,1,1,1,1,0,0,0
52.73100616,1,0,45,1,0,1,0,1,3,1,0,0,1
1.675564682,0,1,36,1,0,0,1,0,2,0,1,0,1
16.65708419,0,0,26,1,0,1,1,1,0,0,0,0,0
29.47022587,1,0,29,1,0,0,1,1,1,0,0,0,1
2.201232033,1,1,23,0,0,1,1,1,1,0,1,1,1
18.00410678,0,0,40,1,0,1,1,1,3,1,0,0,0
109.2402464,0,0,22,1,0,0,1,1,2,0,1,0,0
23.88501027,1,0,26,1,0,0,1,1,1,0,0,0,1
84.89527721,0,0,31,1,0,0,1,0,3,0,1,1,0
15.54004107,1,1,38,0,0,1,1,0,1,0,0,1,1
23.52361396,1,0,36,0,0,0,1,1,1,0,0,0,0
24.83778234,0,0,29,1,0,0,1,0,0,0,0,0,1
12.78028747,1,0,35,0,0,0,1,1,2,0,0,0,1
11.8275154,1,0,24,1,0,0,1,1,0,1,0,0,0
63.14579055,1,1,32,0,0,0,1,1,3,0,0,1,1
45.30595483,1,0,34,1,0,0,1,1,3,0,1,0,0
142.75154,0,1,27,0,0,1,1,0,3,1,0,1,0
7.030800821,1,0,39,1,0,0,1,0,1,0,0,1,1
15.60574949,0,1,54,0,0,1,1,1,0,0,0,1,1
99.77823409,0,0,26,1,1,0,1,1,2,0,1,1,0
45.30595483,1,0,34,1,0,0,1,1,1,0,1,0,0
73.42915811,0,0,29,0,0,1,1,1,3,0,1,1,0
74.74332649,1,0,25,1,0,1,1,0,3,0,1,0,0
38.17659138,0,1,33,1,0,0,1,1,3,1,1,0,1
106.8418891,1,0,22,1,0,0,1,0,1,0,0,1,1
19.18685832,1,0,22,0,1,1,0,1,0,0,0,0,0
52.73100616,1,0,45,1,0,1,0,1,2,0,0,0,1
92.64887064,0,0,25,1,0,0,1,1,2,0,1,0,0
8.180698152,1,0,24,1,0,0,1,1,1,0,1,1,0
40.87063655,1,1,35,0,1,1,1,0,1,1,0,1,1
11.07186858,1,0,43,1,0,0,1,0,3,0,0,1,1
103.7207392,0,0,34,0,0,0,1,0,3,0,1,0,0
8.27926078,1,1,29,0,0,1,1,1,0,0,0,1,1
29.01026694,1,0,28,0,0,1,1,1,0,0,0,0,0
15.21149897,1,0,30,1,0,0,1,0,3,1,1,0,1
60.94455852,1,0,30.40033257,1,0,1,1,1,1,1,0,0,1
19.58110883,1,0,23,1,0,0,1,1,3,0,1,0,0
27.49897331,1,0,27,1,0,0,1,1,3,0,1,1,0
80.65708419,1,0,37,1,0,1,1,0,3,1,1,0,0
38.86652977,1,0,32,1,0,1,1,0,2,0,1,0,1
13.01026694,1,0,25,1,0,1,1,1,0,1,0,0,1
5.125256674,0,1,23,1,0,1,1,1,3,1,0,1,1
26.21765914,1,0,36,1,0,1,1,1,3,1,1,1,0
52.862423,1,0,38,1,0,1,1,0,3,0,1,1,1
93.8973306,0,1,23,0,0,1,1,1,2,0,0,1,0
10.84188912,1,0,30.40033257,1,0,1,1,1,0,0,0,1,0
28.02464066,0,1,34,0,0,1,1,1,1,0,1,1,1
6.669404517,0,0,27,1,0,0,1,1,0,0,0,0,1
29.70020534,0,1,47,0,0,1,1,1,3,0,1,1,0
12.78028747,1,0,27,1,0,1,1,1,1,1,0,0,0
27.56468172,0,0,26,1,0,0,1,0,3,1,1,0,0
16.06570842,0,0,28,1,0,0,0,1,3,0,0,1,1
21.88090349,0,0,38,1,0,0,1,1,3,0,1,0,0
16.75564682,0,0,31,1,0,0,0,1,0,0,0,1,1
36.59958932,0,1,33,1,0,0,1,0,2,1,0,1,0
25.98767967,1,0,23,1,0,0,1,1,3,0,1,1,0
103.5893224,0,0,21,1,0,0,0,1,3,0,1,1,0
41.65913758,0,0,29,1,0,0,1,1,1,1,1,0,0
5.026694045,1,0,26,1,0,0,0,1,3,0,1,0,0
0.887063655,0,0,30,1,0,1,0,1,0,0,0,0,1
3.449691992,0,0,30,1,0,1,1,1,1,1,0,1,1
6.176591376,1,0,34,1,0,0,1,1,3,1,1,0,0
114.1355236,1,0,38,0,0,1,1,1,3,0,1,1,0
13.8973306,1,0,38,0,0,0,1,1,3,1,0,0,0
80.98562628,1,0,32,1,0,1,1,1,3,1,1,0,0
22.66940452,1,1,32,0,0,1,1,0,3,1,1,1,0
16.65708419,0,1,29,1,0,0,1,1,3,0,1,1,1
